Date,USD
2016-04-08 00:00:00,1347766.5325
2016-04-11 00:00:00,741403.575
2016-04-14 00:00:00,1661294.8845
2016-04-17 00:00:00,795354.4586
2016-04-20 00:00:00,1653545.2715
2016-04-23 00:00:00,2462251.506
2016-04-26 00:00:00,2590337.625
2016-04-29 00:00:00,3942954.2498
2016-05-02 00:00:00,538938.63
2016-05-05 00:00:00,1482396.1684
2016-05-08 00:00:00,922396.0998
2016-05-11 00:00:00,2588829.54
2016-05-14 00:00:00,1292090.163
2016-05-17 00:00:00,1427548.52
2016-05-20 00:00:00,2591780.9085
2016-05-23 00:00:00,1028462.0779
2016-05-26 00:00:00,1645517.51
2016-05-29 00:00:00,6618263.8144
2016-06-01 00:00:00,6420111.8632
2016-06-04 00:00:00,4962277.41
2016-06-07 00:00:00,2590286.686
2016-06-10 00:00:00,2166874.9008
2016-06-13 00:00:00,9494228.6385
2016-06-16 00:00:00,4007337.4088
2016-06-19 00:00:00,4438797.3212
2016-06-22 00:00:00,21974290.214
2016-06-25 00:00:00,10751720
2016-06-28 00:00:00,5574406.0895
2016-07-01 00:00:00,5019136.608
2016-07-04 00:00:00,4817101.131
2016-07-07 00:00:00,2399003.3312
2016-07-10 00:00:00,4006561.526
2016-07-13 00:00:00,2846618.325
2016-07-16 00:00:00,2142395.5036
2016-07-19 00:00:00,2028219.0744
2016-07-22 00:00:00,1667556.32
2016-07-25 00:00:00,944103.9448
2016-07-28 00:00:00,1748153.5991
2016-07-31 00:00:00,467480.8008
2016-08-03 00:00:00,11515126.1064
2016-08-06 00:00:00,2754594.2024
2016-08-09 00:00:00,1885946.7891
2016-08-12 00:00:00,1488764.2651
2016-08-15 00:00:00,2730947.824
2016-08-18 00:00:00,2345756.1316
2016-08-21 00:00:00,1404742.3224
2016-08-24 00:00:00,2443582.7052
2016-08-27 00:00:00,1900372.1955
2016-08-30 00:00:00,1333109.475
2016-09-02 00:00:00,1629719.65
2016-09-05 00:00:00,2386266.845
2016-09-08 00:00:00,2769704.9361
2016-09-11 00:00:00,948942.5085
2016-09-14 00:00:00,2112952.4274
2016-09-17 00:00:00,1586068.0416
2016-09-20 00:00:00,1507194.325
2016-09-23 00:00:00,1382424.16
2016-09-26 00:00:00,650995.4232
2016-09-29 00:00:00,1341833.2005
2016-10-02 00:00:00,894828.204
2016-10-05 00:00:00,1793810.0894
2016-10-08 00:00:00,2480451.3104
2016-10-11 00:00:00,1411407.4091
2016-10-14 00:00:00,1509943.9908
2016-10-17 00:00:00,824156.2854
2016-10-20 00:00:00,2796925.7268
2016-10-23 00:00:00,2842323.4125
2016-10-26 00:00:00,3991981.368
2016-10-29 00:00:00,2462999.9235
2016-10-31 23:00:00,3245201.8889
2016-11-03 23:00:00,8276087.9607
2016-11-06 23:00:00,1637884.8196
2016-11-09 23:00:00,7017410.01
2016-11-12 23:00:00,1974698.9952
2016-11-15 23:00:00,4100191.1224
2016-11-18 23:00:00,3199118.274
2016-11-21 23:00:00,2958595.5438
2016-11-24 23:00:00,2972537.33
2016-11-27 23:00:00,2508383.0935
2016-11-30 23:00:00,4637396.952
2016-12-03 23:00:00,2127831.7736
2016-12-06 23:00:00,5132222.0709
2016-12-09 23:00:00,2203083.4956
2016-12-12 23:00:00,2197479.4344
2016-12-15 23:00:00,2363198.5804
2016-12-18 23:00:00,1986896.331
2016-12-21 23:00:00,7825180.1957
2016-12-24 23:00:00,5393160.608
2016-12-27 23:00:00,6692540.341
2016-12-30 23:00:00,10303871.5912
2017-01-02 23:00:00,8324525.7718
2017-01-05 23:00:00,36041021.226
2017-01-08 23:00:00,8183329.3367
2017-01-11 23:00:00,28015965.7428
2017-01-14 23:00:00,5423872.0505
2017-01-17 23:00:00,11126738.064
2017-01-20 23:00:00,5933570.218
2017-01-23 23:00:00,3210327.312
2017-01-26 23:00:00,4725016.2335
2017-01-29 23:00:00,1219424.7139
2017-02-01 23:00:00,6847946.828
2017-02-04 23:00:00,5977596.7455
2017-02-07 23:00:00,5657035.6608
2017-02-10 23:00:00,10764385.1601
2017-02-13 23:00:00,4552916.952
2017-02-16 23:00:00,6172255.776
2017-02-19 23:00:00,2386315.596
2017-02-22 23:00:00,13221162.2004
2017-02-25 23:00:00,7174328.5198
2017-02-28 23:00:00,8993970.4559
2017-03-03 23:00:00,9709655.67
2017-03-06 23:00:00,5472869.325
2017-03-09 23:00:00,9159399.6732
2017-03-12 23:00:00,7110415.64
2017-03-15 23:00:00,4909138.08
2017-03-18 23:00:00,20683899.5819
2017-03-21 23:00:00,12365630.34
2017-03-24 23:00:00,14801847.5571
2017-03-28 00:00:00,9014906.7008
2017-03-31 00:00:00,8954743.434
2017-04-03 00:00:00,8283501.7002
2017-04-06 00:00:00,6324972.7117
2017-04-09 00:00:00,3218963.1595
2017-04-12 00:00:00,4252905.1831
2017-04-15 00:00:00,10502646.7896
2017-04-18 00:00:00,4149184.1107
2017-04-21 00:00:00,7401082.1544
2017-04-24 00:00:00,3232723.2268
2017-04-27 00:00:00,11210449.5126
2017-04-30 00:00:00,5235290.85
2017-05-03 00:00:00,12982815.391
2017-05-06 00:00:00,23708416.5
2017-05-09 00:00:00,31765892.653
2017-05-12 00:00:00,26974512.67
2017-05-15 00:00:00,8581202
2017-05-18 00:00:00,31802940.1008
2017-05-21 00:00:00,24757265.5744
2017-05-24 00:00:00,31598452.9344
2017-05-27 00:00:00,64580050.7724
2017-05-30 00:00:00,27788568.2928
2017-06-02 00:00:00,44285186.9709
2017-06-05 00:00:00,22289105.3668
2017-06-08 00:00:00,45523077.3312
2017-06-11 00:00:00,27858066.2451
2017-06-14 00:00:00,44052895.26
2017-06-17 00:00:00,34208779.4202
2017-06-20 00:00:00,27543022
2017-06-23 00:00:00,29296358.168
2017-06-26 00:00:00,25870164.5301
2017-06-29 00:00:00,31932419.187
2017-07-02 00:00:00,21447811.6312
2017-07-05 00:00:00,25122144.1961
2017-07-08 00:00:00,23595437.3354
2017-07-11 00:00:00,40483407.3522
2017-07-14 00:00:00,19740363.335
2017-07-17 00:00:00,48851609.4536
2017-07-20 00:00:00,38549139.9111
2017-07-23 00:00:00,36210182.1295
2017-07-26 00:00:00,54707494.204
2017-07-29 00:00:00,39186953.704
2017-08-01 00:00:00,31819215.357
2017-08-04 00:00:00,22268580.3
2017-08-07 00:00:00,19262002.55
2017-08-10 00:00:00,47694722.4248
2017-08-13 00:00:00,47778543.112
